headline,date,content,source,url
Vulnerability in Microsoft Exchange Server,2025-03-29,CERT-In has observed active exploitation of vulnerabilities in Microsoft Exchange Server. Users are advised to apply patches immediately.,CERT-In,https://www.cert-in.org.in/
CERT-In Advisory on Ransomware Protection,2025-03-29,CERT-In advises organizations to implement proper backup strategies and security controls to mitigate ransomware threats.,CERT-In,https://www.cert-in.org.in/
"From job promise to forced fraud: Indians speak out on harrowing ordealMar 22, 2025, 18:23 (IST)",2025-03-29,"Hyderabad: Several Indian youths recently repatriated from Myanmar, where they were trapped in cybercrime centres, are now calling for urgent action against the expansive agent network responsible for their exploitation.
These agents, operating across various parts of India—including Hyderabad, Visakhapatnam, North Telangana, and North Andhra—lure unsuspecting individuals with promises of high-paying jobs abroad. Some agents are also based in Delhi, Gujarat, Uttarakhand, and other states.
Authorities, including the Central Bureau of Investigation (CBI) and Telangana Cyber Security Bureau (TGCSB), have started gathering information about these agents, who reportedly facilitated the victims' journey to Myanmar through Thailand. In a chilling twist, some victims—having endured the torment themselves—became agents, recruiting others in exchange for commissions. Additionally, social media ads promoting overseas job opportunities have lured many victims into this trap.
The CBI and TGCSB have been meticulously documenting statements from the victims, who have been provided with a detailed questionnaire containing 25 questions about their personal details, travel routes, and harrowing experiences in the cybercrime centres. The victims are being asked to recount how they were recruited, the nature of their forced work, and the abuse they endured. To aid the investigation, the agencies have also collected photos and videos as evidence.
Kalyan Putcha, a victim from Palasa, shared his harrowing story: ""I was enrolled in a flight attendant course when a friend introduced me to an agent through a mutual contact. The agent promised me a data entry job in Thailand, but instead, I was taken to Myanmar. When I confronted the agent about the situation, he coldly told me, ‘You'll get used to it'.""
Kalyan recounted the brutal conditions he faced: ""They gave me the name ‘Rush' and forced me to deceive people into investing in fake cryptocurrency and bitcoin schemes. The work hours were gruelling—12 hours a day, with barely any food. If we were even a minute late, we were punished—forced to do 50 push-ups or stand outside as corporal punishment. The agent who brought us there is said to have returned to India now.""
Shankar Srinivas Kamulu, from Armoor, was another victim of the same agents. Lured by the promise of a six-month stay, he travelled on Aug 2, 2022, only to find himself unable to return due to the hefty fines imposed by his captors. ""I was rescued by border guards. I found out my agent took a commission of $800. Another victim, Aravind from Sircilla, was duped by the same agent,"" Shankar explained.
""I was given the code name ‘SK' and initially forced to create fake investment pages on Facebook."" Shankar, who holds a bachelor of arts degree, shared his story as a testament to the deceptive and dangerous schemes that continue to affect countless victims in Myanmar.",Times of India,https://timesofindia.indiatimes.com/city/hyderabad/from-job-promise-to-forced-fraud-indians-speak-out-on-harrowing-ordeal/articleshow/119343347.cms
"Mumbai woman loses Rs 20 crore in one of India's longest 'digital arrest' scamsTIMESOFINDIA.COM /Mar 17, 2025, 15:12 (IST)An 86-year-old woman from Mumbai was duped of Rs 20.25 crore in a 'digital arrest' scam running from December 2024 to March 2025. Scammers posing as police officers coerced her into transferring money, exploiting her fear of legal consequences. Mumbai Police are investigating.",2025-03-29,"In a startling cyber fraud case, an 86-year-old Mumbai woman lost Rs 20.25 crore in one of India's longest-running 'digital arrest' scams. Between December 26, 2024, and March 3, 2025, scammers posing as police officials manipulated her through fear of legal trouble, coercing her into transferring the money.
How the Rs 20 crore digital arrest scam unfolded
According to a report by Indian Express, the victim received a call from individuals claiming to be police officers. They alleged that her Aadhaar card had been misused to open a bank account involved in illegal activities, including money laundering. The scammers threatened her with legal action, stating that her name and her family members, including her daughter, would be implicated unless she complied.
To avoid the fabricated charges, the victim was coerced into transferring money to multiple bank accounts. Throughout the scam, the fraudsters instructed her to remain under 'digital arrest,' forbidding her from sharing the situation with anyone.
According to Mumbai Police, the fraudsters employed the ""digital arrest"" technique, a method where victims are led to believe they are under official investigation and are being monitored remotely. They used sophisticated social engineering tactics, including fake video calls with individuals impersonating police officers and government officials, to create a sense of authenticity and urgency.
""This case highlights the alarming trend of cybercriminals targeting vulnerable individuals, particularly senior citizens,"" said a senior police official. ""The sheer scale of the fraud and the duration of the scam underscore the need for increased public awareness and vigilance.""
The investigation is ongoing, and the Mumbai Police Cyber Cell is working to trace the flow of funds and identify the perpetrators. Authorities are also urging the public to be cautious of unsolicited calls or messages from individuals claiming to be law enforcement or government officials, and to verify any such claims through official channels.",Times of India,https://timesofindia.indiatimes.com/technology/tech-news/mumbai-woman-loses-rs-20-crore-in-one-of-indias-longest-digital-arrest-scams/articleshow/119112145.cms
"77% of Yuva Nidhi beneficiaries not keen on skill trainingMar 18, 2025, 22:47 (IST)",2025-03-29,"Mysuru: The state govt launched Yuva Nidhi, a guarantee scheme aimed at enhancing skills to help educated youths secure better jobs. However, over 77% of beneficiaries have not shown interest in skill training.
As per data shared in response to a question raised by Shivamogga MLC Arun DS, over 1.74 lakh youths are receiving financial support under Yuva Nidhi, but only 40,000 underwent skill training.
It can be recalled that when the scheme was launched in Shivamogga, the state govt announced that the Yuva Nidhi beneficiaries would be made employable along with providing the unemployment allowance.
According to the data shared by the skill development minister Sharan Prakash R Patil in the ongoing legislative council session, till Jan 2025, as many as 1,74,170 youths are paid Yuva Nidhi. Among them, 31,078 youths completed skill training while 9,847 persons are undergoing skill training currently.
Under the Yuva Nidhi scheme, domicile Karnataka candidates who completed graduation and diploma courses in the year 2023 will get unemployment allowance for a period of two years. Degree holders will get Rs 3,000 and diploma holders will get Rs 1,500.
According to the officials involved in training the Yuva Nidhi beneficiaries, the response for the skill training is very poor. ""The govt shared the contact number of beneficiaries and asked us to contact them over the phone for the various skill development training programmes. But a majority are not ready to join any free skill training programmes,"" explained an officer who requested anonymity.
""The state govt agencies are offering tens of hands-on training programmes free of cost for the students with free food. These trainings are not available even in the private sector. It is unfortunate that Yuva Nidhi beneficiaries are not showing interest,"" he explained.
Currently these unemployed youth are offered various courses including AI, EV technology, integrated circuit design, fundamentals of cyber security, etc.
According to Pushpa Amaranth, vice-chairwoman of Karnataka State Guarantee Implementation Authority, the panel will take up the awareness drives to help the students understand the importance of the skill training. ""We will work on convincing the students to join our skill training programmes to become employable,"" she said.
According to MLC DS Arun, the low number enrolment for the scheme reveal that it has not reached all. There is no coordination between universities and government departments on implementation of this scheme, he lamented,",Times of India,https://timesofindia.indiatimes.com/city/mysuru/77-of-yuva-nidhi-beneficiaries-not-keen-on-skill-training/articleshow/119172609.cms
"Nat’l Lok Adalat settles 1.8 lakh cases, 13% more than last timeMar 10, 2025, 00:35 (IST)",2025-03-29,"Hyderabad: A total of 1,83,182 cases, including 4,961 cyber fraud cases, were settled across Telangana during the National Lok Adalat held on March 8. This is a 13% rise from the previous National Lok Adalat held in Dec 2024, when 1,61,981 cases were settled. DGP Telangana Jitender congratulated all units for their contribution, including the Cyber Security Bureau and the state and district crime record bureaus for their efforts.
Of the total cases settled, 18,632 FIR cases were compounded, while others included 1,702 disaster management cases, 93,201 e-petty cases, and 64,686 Motor Vehicle Act cases.
Among the top performers were Hyderabad with 32,740 cases, Cyberabad with 22,213 cases, Rachakonda with 16,969 cases, Ramagundam with 12,899 cases, and Suryapet with 12,037 cases.
In addition, the refund of amounts put on hold in cyber crimes was also undertaken. Telangana Cyber Security Bureau (TGCSB) facilitated the refund of 43.31 crore to 4,961 victims of cyber fraud in this National Lok Adalat, surpassing the previous record of 33.2 crore refunded to 4,893 victims in the Dec 2024 Lok Adalat.
Telangana Cyber Security Bureau (TGCSB) facilitated the refund of 43.31 crore to 4,961 victims of cyber fraud in this National Lok Adalat, surpassing the previous record",Times of India,https://timesofindia.indiatimes.com/city/hyderabad/natl-lok-adalat-settles-1-8-lakh-cases-13-more-than-last-time/articleshow/118824433.cms
"Delhi govt to conductcyber securityaudit of its IT systemMar 09, 2025, 21:20 (IST)",2025-03-29,"New Delhi: To identify any vulnerabilities and plug loopholes that may lead to breach of security and data theft, the Delhi govt has decided to conduct a cyber security audit of its information technology system. Officials said a CERT-in (Indian Computer Emergency Response Team) empanelled agency will soon be engaged to conduct an audit of the IT system and prepare a strong firewall to prevent any cyber attacks for the next three years.
Delhi govt has shifted to a complete online system for most of its public services, besides having an electronic filing system for day-to-day paperless working of all its offices. Most public dealing departments have their dedicated portals for accepting applications and processing them, and all govt records and public databases are now digitised too. In such a situation, officials accepted that the hypertext transfer protocols (https) have become the easiest path for cyber attackers to intrude on a network, with growth in vulnerabilities in applications.
""The in-house and outsourced applications often put speedy development and convenience over security, which results in vulnerabilities such as authentication bypass, SQL (programming language) injection and cross-site scripting among others,"" said an official.
The IT department of Delhi govt has invited bids from eligible vendors for a project to detail an audit report which will be prepared to outline all the discovered vulnerabilities categories as critical, high, medium and low severity. The entire security audit report for any website or application will have to be made available within10 working days from the date the request is formally communicated by the department. The selected agency will also submit a comprehensive report after the vulnerabilities are addressed. It will also issue a ‘safe to host' certificate after all identified vulnerabilities are resolved and validated according to the security audit requirements.
Officials added that the security audit report will also provide detailed effectiveness of the security controls that exist in departments, local bodies and corporations under the Delhi govt. ""The report will also offer remedial advice for the identified vulnerabilities along with a detailed explanation followed by resolution of the issues. It will be also expected of the vendor that a follow-up test is carried out to ensure that all the vulnerabilities originally found are fixed,"" said the official.
Officials said Delhi govt departments, and associated boards, corporations and agencies, collectively have nearly 180 websites, which were redesigned nearly two years ago. These websites were designed to provide faster access with improved load time and page response and enhanced UI experience.
New Delhi: To identify any vulnerabilities and plug loopholes that may lead to breach of security and data theft, the Delhi govt has decided to conduct a cyber security audit of its information technology system. Officials said a CERT-in (Indian Computer Emergency Response Team) empanelled agency will soon be engaged to conduct an audit of the IT system and prepare a strong firewall to prevent any cyber attacks for the next three years.
Delhi govt has shifted to a complete online system for most of its public services, besides having an electronic filing system for day-to-day paperless working of all its offices. Most public dealing departments have their dedicated portals for accepting applications and processing them, and all govt records and public databases are now digitised too. In such a situation, officials accepted that the hypertext transfer protocols (https) have become the easiest path for cyber attackers to intrude on a network, with growth in vulnerabilities in applications.
""The in-house and outsourced applications often put speedy development and convenience over security, which results in vulnerabilities such as authentication bypass, SQL (programming language) injection and cross-site scripting among others,"" said an official.
The IT department of Delhi govt has invited bids from eligible vendors for a project to detail an audit report which will be prepared to outline all the discovered vulnerabilities categories as critical, high, medium and low severity. The entire security audit report for any website or application will have to be made available within10 working days from the date the request is formally communicated by the department. The selected agency will also submit a comprehensive report after the vulnerabilities are addressed. It will also issue a ‘safe to host' certificate after all identified vulnerabilities are resolved and validated according to the security audit requirements.
Officials added that the security audit report will also provide detailed effectiveness of the security controls that exist in departments, local bodies and corporations under the Delhi govt. ""The report will also offer remedial advice for the identified vulnerabilities along with a detailed explanation followed by resolution of the issues. It will be also expected of the vendor that a follow-up test is carried out to ensure that all the vulnerabilities originally found are fixed,"" said the official.
Officials said Delhi govt departments, and associated boards, corporations and agencies, collectively have nearly 180 websites, which were redesigned nearly two years ago. These websites were designed to provide faster access with improved load time and page response and enhanced UI experience.",Times of India,https://timesofindia.indiatimes.com/city/delhi/delhi-govt-to-conduct-cyber-security-audit-of-its-it-system/articleshow/118822061.cms
"Indore’s IIT technology innovation hub to be upgraded to TTRPMar 16, 2025, 00:50 (IST)",2025-03-29,"Indore: India Institute of Technology (IIT), Indore's technology innovation hub Drishti CPS Foundation will be upgraded into a Technology Translational Research Park (TTRP) with an emphasis on healthcare innovations.
IITI DRISHTI CPS Foundation ranks amongst the top four technology innovation hubs in the country to be elevated into a Technology Translational Research Park (TTRP), endeavouring to enhance India's deep-tech ecosystem and industry-academia collaborations.
Aditya Vyas, CEO of IITI DRISHTI CPS Foundation, said, ""IIT-I has become the only second-generation IIT to have its TIH upgraded to a TTRP, marking a significant achievement for both the institute and the state of Madhya Pradesh. This transition into a TTRP demonstrates the pioneering work being conducted at IIT Indore in the field of healthcare technology. With sophisticated infrastructure, industry collaborations, and specialised research programmes, we aim to bridge the gap between laboratory innovations and real-world applications, ultimately benefiting society at large.""
The announcement was conveyed by the Union Minister of State (Independent Charge) for Science and Technology Dr Jitendra Singh during a review meeting on Wednesday. The other three TTRPs are IIT Kanpur (cyber security), IISc Bangalore (robotics and autonomous navigation), and ISM Dhanbad (mining). These hubs shall provide infrastructure and support for translational research.
The Technology Translational Research Park at IIT Indore shall concentrate on Medical device development and regulatory approvals, AI-powered diagnostics and telemedicine solutions, Wearable health monitoring systems, Healthcare data analytics and patient-centric innovations and Collaborations with hospitals, research laboratories, and biotech startups.
IIT-I's TTRP shall function as a catalyst for medical technology startups, bioengineering research, and AI-driven healthcare advancements, stated Vyas.
The Charak Digital Healthcare Centre remains one of the flagship initiatives of the foundation, specialising in cutting-edge technologies like CyberPhysical Systems (CPS), Artificial Intelligence (AI), Machine Learning (ML), Cloud Computing, and Internet of Medical Things (IoMT) to transform healthcare delivery and management.
Indore: India Institute of Technology (IIT), Indore's technology innovation hub Drishti CPS Foundation will be upgraded into a Technology Translational Research Park (TTRP) with an emphasis on healthcare innovations.
IITI DRISHTI CPS Foundation ranks amongst the top four technology innovation hubs in the country to be elevated into a Technology Translational Research Park (TTRP), endeavouring to enhance India's deep-tech ecosystem and industry-academia collaborations.
Aditya Vyas, CEO of IITI DRISHTI CPS Foundation, said, ""IIT-I has become the only second-generation IIT to have its TIH upgraded to a TTRP, marking a significant achievement for both the institute and the state of Madhya Pradesh. This transition into a TTRP demonstrates the pioneering work being conducted at IIT Indore in the field of healthcare technology. With sophisticated infrastructure, industry collaborations, and specialised research programmes, we aim to bridge the gap between laboratory innovations and real-world applications, ultimately benefiting society at large.""
The announcement was conveyed by the Union Minister of State (Independent Charge) for Science and Technology Dr Jitendra Singh during a review meeting on Wednesday. The other three TTRPs are IIT Kanpur (cyber security), IISc Bangalore (robotics and autonomous navigation), and ISM Dhanbad (mining). These hubs shall provide infrastructure and support for translational research.
The Technology Translational Research Park at IIT Indore shall concentrate on Medical device development and regulatory approvals, AI-powered diagnostics and telemedicine solutions, Wearable health monitoring systems, Healthcare data analytics and patient-centric innovations and Collaborations with hospitals, research laboratories, and biotech startups.
IIT-I's TTRP shall function as a catalyst for medical technology startups, bioengineering research, and AI-driven healthcare advancements, stated Vyas.
The Charak Digital Healthcare Centre remains one of the flagship initiatives of the foundation, specialising in cutting-edge technologies like CyberPhysical Systems (CPS), Artificial Intelligence (AI), Machine Learning (ML), Cloud Computing, and Internet of Medical Things (IoMT) to transform healthcare delivery and management.",Times of India,https://timesofindia.indiatimes.com/city/indore/indores-iit-technology-innovation-hub-to-be-upgraded-to-ttrp/articleshow/119054940.cms
"Wipro realigns its global business linesTNN /Mar 15, 2025, 04:10 (IST)Wipro restructures its global business lines to enhance its market strategies and meet client demands in emerging technologies like AI, cloud, and digital transformation. The realignment will focus on delivering specialized, outcome-driven solutions, effective from April 1. Key management changes also include Jo Debecker's departure and Nagendra Bandaru assuming a leadership role.",2025-03-29,"BENGALURU: Wipro has realigned its global business lines (GBLs) to expand its go-to-market capabilities to meet clients' business needs in emerging technologies driven by AI, cloud, and digital transformation.
Wipro organised its capabilities across four GBLs-delivery, capabilities, solutions, and horizontal specialists are owned by GBLs. The four GBLs are technology services, business process services, engineering, and consulting services. ""This evolution of our business lines will enable us to further sharpen our focus towards client needs with consulting-led and AI-powered solutions,"" said Wipro CEO Srini Pallia. ""This realignment will allow us to serve our clients better, enabling us to deliver tailored, high-impact transformation,"" he added. These changes will be effective from April 1. Wipro said that clients are increasingly seeking integrated, outcome-driven solutions that enhance agility and innovation. To better meet these needs, Wipro has realigned its GBLs.
Jo Debecker, who led Wipro FullStride Cloud, has quit the firm to pursue opportunities outside the company. As the managing partner and global head of technology services, Nagendra Bandaru will drive this GBL, focusing on delivering cloud-enabled and industry-specific technology solutions. It will focus on digital and industry cloud, cyber security and risk services, cloud and infrastructure services, data, analytics and AI, enterprise applications, and Designit. Jasjit Singh Kang, SVP, and business head for digital operations & platforms in Wipro, will focus on digital operations and business process transformation.",Times of India,https://timesofindia.indiatimes.com/business/india-business/wipro-realigns-its-global-business-lines/articleshow/119025363.cms
First Day First ShowNews and reviews from the world of cinema and streaming.SEE ALL NEWSLETTERS,2025-03-29,"First Day First ShowFriday | 28 March, 2025 |
| Welcome to the First Day, First Show newsletter from The Hindu. Written and curated by Gautam Sundar, this weekly update will bring the latest and best from the world of movies and entertainment to your inbox. |
Our other newsletters | Sign-Up |
Reviews of ‘L2: Empuraan’ and ‘Veera Dheera Sooran: Part 2’Curated every week, this newsletter brings you all the latest news from the world of movies and streamingAround Tinsel Town>> Red Lorry Film Festival comes back to Mumbai and debuts at Hyderabad After a successful inaugural edition last year in Mumbai, BookMyShow’s Red Lorry Film Festival returned for its second season and this time, apart from going for ‘Take Two’ in Mumbai, the festival’s Parallel Verse debuted in Hyderabad. The opening day witnessed a mix of screenings, insightful masterclasses and nostalgic journeys through the golden eras of cinema in both the venues. In Hyderabad, under the Legacy Talks segment, audiences were treated to the 1955 Telugu classic Missamma, starring N.T. Rama Rao and Savitri. In Mumbai, Honouring the legacy of Smita Patil on her 70th birth anniversary, the festival screened Mirch Masala with Prateik Smita Patil and director Ketan Mehta, in attendance to celebrate her contributions to Indian cinema. The jury selected Paul and Paulette Take A Bath as the winner of the Fresh Frames category, while Souleymane’s Story received the Frontrunner title. BollywoodHrithik Roshan to make his directorial debut with ‘Krrish 4’ Salman Khan confirms film with Atlee delayed, also confirms ‘rustic, next-level’ film with Sanjay Dutt Akshay Kumar, Arshad Warsi starrer ‘Jolly LLB 3’ release date out ‘Jewel Thief - The Heist Begins’: Saif Ali Khan, Jaideep Ahlawat’s caper gets release date ‘Awarapan 2’: Emraan Hashmi to return as Shivam Prime Video announces Season 2 of ‘Dupahiya’ HollywoodMarvel unveils star-studded cast for ‘Avengers: Doomsday’ Christoph Waltz joins ‘Only Murders in the Building’ season 5 Will Smith channels his post-slap introspection into music on ‘Based on a True Story’ Sydney Sweeney to take on dual role in thriller ‘I Pretended to Be a Missing Girl’ Apple TV’s thriller series ‘Severance’ gets renewed for season three Regional Cinema‘RC 16’: Ram Charan’s film titled ‘Peddi’ ‘Jana Nayagan’: Vijay’s swansong film, directed by H Vinoth, gets a release date Release date of KGF Yash’s ‘Toxic’ out Tamannaah Bhatia’s ‘Odela 2’ to hit theatres in April Pranav Mohanlal teams up with ‘Bramayugam’ director Rahul Sadasivan It’s a wrap for Nayanthara - Nivin Pauly’s ‘Dear Students’ ‘PR 04’: Pradeep Ranganathan-Mamitha Baiju film goes on floors World Cinema‘Dandadan’ composer Kensuke Ushio teases ‘Orb’ anime OST release Record-breaking Chinese animation ‘Ne Zha 2’ sets Indian theatrical release TrailersSalman Khan takes over Mumbai for a mission in ‘Sikandar’ trailer Mohanlal and Shobana promise nostalgia, fun and mystery in ‘Thudarum’ trailer Leonardo DiCaprio gets revolutionary in Paul Thomas Anderson’s ‘One Battle After Another’ trailer In ‘Bazooka’ trailer: Mammootty is a classy Mr Nobody Akshay Kumar fights the British Empire in ‘Kesari Chapter 2 teaser In ‘Raid 2’ teaser, Ajay Devgn returns as fearsome revenue officer Amay Patnaik Essential reading1) Shruti Haasan interview: ‘Coolie’ and ‘The Eye’ will mark a new path in my career >> Shruti Haasan opens up on her pursuit of independent music and her big film releases 2) Film producer Max Howard on the evolution of the animation industry >> Max Howard was recently in India for a masterclass on dissecting cinematic masterpieces and gaining a deeper understanding of the craft 3) Filmmaker Hemanth M Rao on turning producer >> The Kannada director talks about turning full-fledged producer with ‘Agnyathavasi’ and the need to support newcomers with unique stories 4) Sivaji on ‘Court’: A new generation is discovering me >> Actor Sivaji opens up on returning to cinema after a hiatus, and why the recognition for his work in ‘Court: State Vs A Nobody’ is significant 5) Filmmaker Santhosh Mada’s Tulu feature, ‘Pidayi’ wins award at BIFFes >> Malayali director Santhosh Mada talks about his award-winning Tulu film ‘Pidayi’ 6) Director Sajeed A on ‘Vadakkan’ which explores the paranormal rooted in Kerala >> The debutant filmmaker talks about how his paranormal thriller ‘Vadakkan’, set in Kerala, has theyyam as its backbone 7) ‘Adolescence’ and the cinema of radicalisation >> A look at how Netflix’s ‘Adolescence’ pulls back the curtain on the concept of manosphere 8) Screen Share | Films that smell like fresh greens and expensive cologne >> This week’s column lists the films that capture the thrill, chaos, and moral dilemmas of financial markets 9) How ‘Orb: On the Movements of the Earth’ became an anime phenomenon >> A deep-dive on how the anime presents a chronicle of efforts that have made the uncontainable threats of knowledge more volatile 10) ‘MAD Square’, ‘Robinhood’ to kickstart summer at the movies >> Summer 2025 will witness a steady line-up of Telugu films such as ‘Hari Hara Veera Mallu’, ‘HIT 3’ and ‘Kingdom’ 11) A cinephile’s pilgrimage to the monumental Prasads Multiplex in Hyderabad >> At the Red Lorry Film Festival, a journalist, visiting the city for the first time, shares if his sky-high expectations measure up to its towering white arch What to watch1) Mohanlal, rich production design fail to save ‘L2: Empuraan’ 2) ‘Veera Dheera Sooran: Part 2’ is Vikram’s explosive, heady and largely gripping gangster drama 3) Sandhya Suri’s ‘Santosh’ is a layered procedural that dissects the casual cruelties of power 4) Cate Blanchett and Michael Fassbender light up Steven Soderbergh’s ‘Black Bag’ 5) Nithiin, Sreeleela’s action-comedy ‘Robinhood’ is a misfire 6) ‘MAD Square’ is a middling film with a few laughs 7) Yogaraj Bhat delivers a love triangle with philosophy in ‘Manada Kadalu’ 8) Seth Rogen’s meta-comedy cameo-fest ‘The Studio’ is an absolute riot 9) Steven Yeun, Sandra Oh thrill in ‘Invincible’ S3, a supersonic ride into the superhero psyche 10) ‘Severance’ Season 2 finale takes us once more into the fray |
| Copyright © 2025, THG PUBLISHING PVT LTD. |",The Hindu,https://www.thehindu.com/newsletter/first-day-first-show/?utm_source=fdfs_preview_link&utm_medium=website_nl-sub_page&utm_campaign=newsletter_signup
